put_call,symbol,description,exchange_name,bid,ask,last,mark,bid_size,ask_size,bid_ask_size,last_size,high_price,low_price,open_price,close_price,total_volume,trade_time_in_long,quote_time_in_long,net_change,volatility,delta,gamma,theta,vega,rho,open_interest,time_value,theoretical_option_value,theoretical_volatility,strike_price,expiration_date,days_to_expiration,expiration_type,last_trading_day,multiplier,settlement_type,deliverable_note,percent_change,mark_change,mark_percent_change,intrinsic_value,extrinsic_value,option_root,exercise_type,high_52_week,low_52_week,penny_pilot,non_standard,in_the_money,mini,c_breakeven_price,c_net_investment,m_equity_required,c_pts_downside_protection,c_profit_if_exercised,c_profit_if_unchanged,m_net_investment,m_debit_balance,c_downside_protection,c_return_if_exercised,c_return_if_unchanged,m_interest_changes,m_profit_if_unchanged,c_annualized_return_if_unchanged,m_profit_if_exercised,m_return_if_unchanged,m_breakeven_price,m_return_if_exercised,m_pts_downside_protection,m_annualized_return_if_unchanged,m_downside_protection
PUT,AAPL  250613P00197500,AAPL 06/13/2025 197.50 P,OPR,3.45,3.6,3.45,3.53,29,25,29X25,1,5.35,3.05,0,3.98,1754,1748635184708,1748635200718,-0.52,32.598,-0.38,0.03,-0.172,0.15,-0.03,618,3.45,3.525,29,197.5,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,-13.08,-0.45,-11.32,-3.35,6.8,AAPL,A,5.55,2.81,true,false,false,false,196.55,19655.65,20.0,-193.10000000000002,94.34999999999854,344.34999999999854,-324.35,180.0,-0.9655000000000001,0.004800146522755469,0.017519135719246046,0.7000000000000001,668.6999999999986,0.4567488955374862,93.64999999999854,-2.0616617851086745,-1.4365000000000003,-0.2887313087713844,201.4365,-53.75046796890473,1.0071825
PUT,AAPL  250613P00200000,AAPL 06/13/2025 200.00 P,OPR,4.45,4.6,4.45,4.53,15,25,15X25,1,6.56,3.95,0,5.0,748,1748635184710,1748635200721,-0.55,31.913,-0.456,0.032,-0.175,0.156,-0.036,2480,4.45,4.525,29,200.0,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,-11.0,-0.47,-9.5,-0.85,5.3,AAPL,A,11.35,2.09,true,false,false,false,195.55,19555.65,20.0,-191.10000000000002,444.34999999999854,444.34999999999854,-424.35,180.0,-0.9555000000000001,0.022722333443275906,0.022722333443275906,0.7000000000000001,868.6999999999986,0.5924036933425504,443.64999999999856,-2.0471309060916663,-2.4365000000000006,-1.0454813243784578,202.4365,-53.37162719453273,1.0121825
PUT,AAPL  250613P00202500,AAPL 06/13/2025 202.50 P,OPR,5.65,5.8,5.6,5.73,8,6,8X6,2,7.96,5.05,0,6.27,393,1748635183173,1748635200727,-0.67,31.474,-0.536,0.032,-0.172,0.157,-0.041,214,3.95,5.757,29,202.5,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,-10.69,-0.54,-8.62,1.65,3.95,AAPL,A,8.1,4.75,true,false,true,false,194.35,19435.65,20.0,-188.7,814.3499999999985,564.3499999999985,-544.35,180.0,-0.9435,0.0418998078273687,0.02903684723690736,0.7000000000000001,1108.6999999999985,0.7570320886765133,813.6499999999985,-2.036741067328003,-3.6365000000000003,-1.4947184715715964,203.6365,-53.10074925533722,1.0181825
PUT,AAPL  250613P00205000,AAPL 06/13/2025 205.00 P,OPR,6.9,7.25,7.05,7.08,34,2,34X2,1,9.73,6.5,0,7.72,147,1748635184707,1748635199966,-0.67,30.982,-0.616,0.031,-0.162,0.15,-0.046,3856,2.9,7.181,29,205.0,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,-8.67,-0.65,-8.4,4.15,2.9,AAPL,A,15.0,3.15,true,false,true,false,193.1,19310.65,20.0,-186.2,1189.3499999999985,689.3499999999985,-669.35,180.0,-0.9309999999999999,0.061590365937966796,0.03569791798826029,0.7000000000000001,1358.6999999999985,0.9306957189796432,1188.6499999999985,-2.0298797340703643,-4.886500000000001,-1.775827295137071,204.8865,-52.92186449540593,1.0244325
PUT,AAPL  250613P00207500,AAPL 06/13/2025 207.50 P,OPR,8.35,8.95,8.41,8.65,112,79,112X79,62,11.45,8.0,0,9.43,185,1748635160212,1748635199901,-1.02,30.666,-0.692,0.029,-0.146,0.138,-0.05,112,1.76,8.825,29,207.5,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,-10.82,-0.78,-8.23,6.65,1.76,AAPL,A,11.45,7.7,true,false,true,false,191.65,19165.65,20.0,-183.3,1584.3499999999985,834.3499999999985,-814.35,180.0,-0.9165000000000001,0.08266612402918755,0.04353361352210849,0.7000000000000001,1648.6999999999985,1.1349834953978284,1583.6499999999985,-2.0245594646036698,-6.3365,-1.9446798059802277,206.3365,-52.78315747002425,1.0316825
PUT,AAPL  250620P00197500,AAPL 06/20/2025 197.50 P,OPR,4.25,4.4,3.75,4.33,1,95,1X95,1,6.1,3.75,0,4.68,785,1748635097336,1748635199992,-0.92,31.396,-0.389,0.025,-0.133,0.185,-0.046,2893,3.75,4.325,29,197.5,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,-19.68,-0.35,-7.49,-3.35,7.1,AAPL,A,9.35,2.6,true,false,false,false,195.75,19575.65,20.0,-191.5,174.34999999999854,424.34999999999854,-404.35,180.0,-0.9575,0.008906473092847417,0.021677441106680927,1.05,828.6999999999986,0.3767745716161209,173.29999999999853,-2.049462099666127,-2.233,-0.42858909360701997,202.233,-35.621603160863636,1.011165
PUT,AAPL  250620P00200000,AAPL 06/20/2025 200.00 P,OPR,5.2,5.35,5.24,5.28,15,3,15X3,1,7.5,4.72,0,5.75,2207,1748635195537,1748635199958,-0.51,30.474,-0.454,0.027,-0.132,0.191,-0.053,43945,5.24,5.275,29,200.0,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,-8.87,-0.47,-8.26,-0.85,6.09,AAPL,A,36.34,1.53,true,false,false,false,194.8,19480.65,20.0,-189.60000000000002,519.3499999999985,519.3499999999985,-499.35,180.0,-0.9480000000000002,0.02665978804608668,0.02665978804608668,1.05,1018.6999999999986,0.46337250651531614,518.2999999999986,-2.0400520676879914,-3.1830000000000003,-1.0379493341343717,203.183,-35.45804784314842,1.015915
PUT,AAPL  250620P00202500,AAPL 06/20/2025 202.50 P,OPR,6.4,6.55,5.84,6.48,11,30,11X30,2,8.7,5.84,0,6.99,194,1748635083985,1748635199907,-1.15,30.081,-0.523,0.028,-0.13,0.192,-0.06,2458,4.19,6.49,29,202.5,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,-16.45,-0.52,-7.37,1.65,4.19,AAPL,A,12.2,3.9,true,false,true,false,193.6,19360.65,20.0,-187.2,889.3499999999985,639.3499999999985,-619.35,180.0,-0.9359999999999999,0.045935957728691884,0.03302316812710309,1.05,1258.6999999999985,0.5739741126853632,888.2999999999986,-2.032291918947281,-4.383,-1.4342455800435918,204.383,-35.32316906741702,1.0219150000000001
PUT,AAPL  250620P00205000,AAPL 06/20/2025 205.00 P,OPR,7.6,7.95,7.75,7.78,95,10,95X10,1,10.45,7.15,0,8.4,1147,1748635184593,1748635200182,-0.65,29.355,-0.593,0.028,-0.122,0.187,-0.066,16271,3.6,7.815,29,205.0,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,-7.74,-0.63,-7.44,4.15,3.6,AAPL,A,37.21,1.92,true,false,true,false,192.4,19240.65,20.0,-184.8,1259.3499999999985,759.3499999999985,-739.35,180.0,-0.924,0.0654525704692928,0.03946592240906614,1.05,1498.6999999999985,0.6859553180623401,1258.2999999999986,-2.027050787854194,-5.583000000000001,-1.7019003178467553,205.583,-35.232073217465754,1.027915
PUT,AAPL  250620P00207500,AAPL 06/20/2025 207.50 P,OPR,9.35,9.75,8.65,9.55,20,118,20X118,2,12.12,8.65,0,10.01,28,1748635100766,1748635199971,-1.36,29.196,-0.661,0.027,-0.113,0.176,-0.071,850,2.0,9.417,29,207.5,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,-13.59,-0.46,-4.59,6.65,2.0,AAPL,A,14.6,5.42,true,false,true,false,190.65,19065.65,20.0,-181.3,1684.3499999999985,934.3499999999985,-914.35,180.0,-0.9065000000000001,0.08834474565514412,0.04900698376399433,1.05,1848.6999999999985,0.8517880511360919,1683.2999999999986,-2.0218734620222,-7.333000000000001,-1.840979931098593,207.333,-35.14208636371919,1.036665
