put_call,symbol,description,exchange_name,bid,ask,last,mark,bid_size,ask_size,bid_ask_size,last_size,high_price,low_price,open_price,close_price,total_volume,trade_time_in_long,quote_time_in_long,net_change,volatility,delta,gamma,theta,vega,rho,open_interest,time_value,theoretical_option_value,theoretical_volatility,strike_price,expiration_date,days_to_expiration,expiration_type,last_trading_day,multiplier,settlement_type,deliverable_note,percent_change,mark_change,mark_percent_change,intrinsic_value,extrinsic_value,option_root,exercise_type,high_52_week,low_52_week,penny_pilot,non_standard,in_the_money,mini
CALL,AAPL  250530C00202500,AAPL 05/30/2025 202.50 C,OPR,0.01,0.02,0.01,0.02,1918,168,1918X168,1,0.25,0.01,0,0.44,46583,1748635199867,1748635199867,-0.43,31.516,0.04,0.089,-0.015,0.003,0.0,21787,0.01,0.015,29,202.5,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-97.73,-0.42,-96.59,-1.65,1.66,AAPL,A,12.85,0.01,true,false,false,false
CALL,AAPL  250530C00205000,AAPL 05/30/2025 205.00 C,OPR,0.0,0.01,0.01,0.01,0,90,0X90,1,0.07,0.01,0,0.13,24906,1748635080191,1748635201603,-0.12,57.289,0.009,0.013,-0.005,0.001,0.0,38662,0.01,0.005,29,205.0,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-96.0,-0.12,-96.0,-4.15,4.16,AAPL,A,16.09,0.01,true,false,false,false
CALL,AAPL  250530C00207500,AAPL 05/30/2025 207.50 C,OPR,0.0,0.01,0.01,0.01,0,1787,0X1787,7,0.04,0.01,0,0.06,8871,1748635194409,1748635199020,-0.04,86.063,0.006,0.006,-0.005,0.001,0.0,17127,0.01,0.005,29,207.5,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-72.73,-0.05,-90.91,-6.65,6.66,AAPL,A,9.05,0.01,true,false,false,false
CALL,AAPL  250606C00197500,AAPL 06/06/2025 197.50 C,OPR,5.15,5.35,5.35,5.25,79,10,79X10,2,6.09,3.17,0,5.04,5522,1748635195040,1748635200726,0.31,29.869,0.665,0.044,-0.222,0.102,0.025,1751,2.0,5.252,29,197.5,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,6.16,0.21,4.26,3.35,2.0,AAPL,A,13.5,3.17,true,false,true,false
CALL,AAPL  250606C00200000,AAPL 06/06/2025 200.00 C,OPR,3.6,3.75,3.79,3.68,60,41,60X41,3,4.35,2.05,0,3.56,22811,1748635193385,1748635200718,0.23,28.972,0.55,0.049,-0.235,0.111,0.021,14622,2.94,3.673,29,200.0,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,6.46,0.12,3.29,0.85,2.94,AAPL,A,18.65,2.05,true,false,true,false
CALL,AAPL  250606C00202500,AAPL 06/06/2025 202.50 C,OPR,2.36,2.42,2.4,2.39,1,5,1X5,1,2.93,1.27,0,2.38,22187,1748635199185,1748635199965,0.02,28.046,0.425,0.05,-0.225,0.11,0.016,5697,2.4,2.39,29,202.5,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,0.84,0.0,0.21,-1.65,4.05,AAPL,A,9.3,1.27,true,false,false,false
CALL,AAPL  250606C00205000,AAPL 06/06/2025 205.00 C,OPR,1.42,1.48,1.45,1.45,50,7,50X7,1,1.83,0.74,0,1.49,27951,1748635198053,1748635199997,-0.04,27.397,0.303,0.046,-0.194,0.098,0.012,11657,1.45,1.45,29,205.0,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,-2.68,-0.04,-2.68,-4.15,5.6,AAPL,A,14.57,0.74,true,false,false,false
CALL,AAPL  250606C00207500,AAPL 06/06/2025 207.50 C,OPR,0.81,0.85,0.83,0.83,20,13,20X13,1,1.07,0.42,0,0.9,16135,1748635199935,1748635199938,-0.07,27.107,0.2,0.037,-0.151,0.078,0.008,6780,0.83,0.83,29,207.5,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,-7.82,-0.06,-7.26,-6.65,7.48,AAPL,A,6.25,0.42,true,false,false,false
CALL,AAPL  250613C00197500,AAPL 06/13/2025 197.50 C,OPR,6.9,7.15,7.05,7.03,8,6,8X6,2,7.79,5.15,0,6.82,769,1748635197431,1748635200724,0.23,32.598,0.62,0.03,-0.182,0.15,0.045,203,3.7,7.013,29,197.5,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,3.37,0.21,3.04,3.35,3.7,AAPL,A,9.13,5.15,true,false,true,false
CALL,AAPL  250613C00200000,AAPL 06/13/2025 200.00 C,OPR,5.45,5.6,5.65,5.53,59,1,59X1,3,6.22,3.9,0,5.34,2692,1748635192317,1748635199991,0.31,31.913,0.544,0.031,-0.185,0.156,0.04,2981,4.8,5.516,29,200.0,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,5.81,0.19,3.46,0.85,4.8,AAPL,A,18.85,3.9,true,false,true,false
CALL,AAPL  250613C00202500,AAPL 06/13/2025 202.50 C,OPR,4.15,4.35,4.27,4.25,151,69,151X69,1,4.85,2.9,0,4.1,1144,1748635198556,1748635199995,0.17,31.474,0.464,0.032,-0.182,0.157,0.034,1054,4.27,4.25,29,202.5,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,4.15,0.15,3.66,-1.65,5.92,AAPL,A,6.17,2.9,true,false,false,false
CALL,AAPL  250613C00205000,AAPL 06/13/2025 205.00 C,OPR,3.1,3.25,3.25,3.18,35,32,35X32,1,3.65,2.12,0,3.05,2798,1748635190653,1748635199971,0.2,30.982,0.384,0.031,-0.172,0.151,0.029,3381,3.25,3.175,29,205.0,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,6.56,0.13,4.1,-4.15,7.4,AAPL,A,12.8,2.12,true,false,false,false
CALL,AAPL  250613C00207500,AAPL 06/13/2025 207.50 C,OPR,2.28,2.36,2.36,2.32,9,135,9X135,1,2.69,1.52,0,2.24,1878,1748635199116,1748635199843,0.12,30.666,0.309,0.029,-0.156,0.139,0.023,1346,2.36,2.32,29,207.5,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,5.36,0.08,3.57,-6.65,9.01,AAPL,A,3.65,1.52,true,false,false,false
CALL,AAPL  250620C00197500,AAPL 06/20/2025 197.50 C,OPR,7.85,8.1,8.5,7.98,17,67,17X67,1,8.7,6.0,0,7.69,517,1748635133717,1748635200725,0.81,31.396,0.611,0.025,-0.148,0.185,0.066,1236,5.15,8.004,29,197.5,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,10.53,0.28,3.65,3.35,5.15,AAPL,A,15.0,6.0,true,false,true,false
CALL,AAPL  250620C00200000,AAPL 06/20/2025 200.00 C,OPR,6.4,6.55,6.54,6.48,60,7,60X7,1,7.15,4.8,0,6.27,3464,1748635196510,1748635199972,0.27,30.474,0.546,0.027,-0.148,0.191,0.06,33654,5.69,6.457,29,200.0,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,4.31,0.21,3.34,0.85,5.69,AAPL,A,65.75,4.39,true,false,true,false
CALL,AAPL  250620C00202500,AAPL 06/20/2025 202.50 C,OPR,5.1,5.25,5.2,5.18,62,19,62X19,1,5.73,3.79,0,5.0,967,1748635186075,1748635200726,0.2,30.081,0.478,0.027,-0.146,0.192,0.052,2173,5.2,5.175,29,202.5,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,4.0,0.17,3.5,-1.65,6.85,AAPL,A,11.25,3.79,true,false,false,false
